Department,Surface_km2,Population,Population Density (people/km2)
Amazonas,109665,85056,0.775598413349747
Vichada,100242,123304,1.2300632469423993
Caquetá,88965,425053,4.77775529702692
Meta,85635,1130085,13.196531791907514
Guainía,72238,56551,0.7828428251059
Vaupés,54135,46777,0.86408053939226
Guaviare,53460,97616,1.8259633370744481
Chocó,46530,595138,12.790414786159467
Casanare,44640,467775,10.47883064516129
Nariño,33268,1699570,51.08723097270651
Santander,30537,2357127,77.1892130857648
Cauca,29308,1558045,53.161082298348575
Bolívar,25978,2247283,86.5071599045346
Córdoba,25020,1898911,75.89572342126299
Putumayo,24885,383042,15.392485432991762
Arauca,23818,313097,13.145394239650685
Tolima,23562,1374384,58.33053221288515
Boyacá,23189,1298800,56.00931476130924
Magdalena,23188,1496163,64.52315853027427
Cesar,22905,1373581,59.96860947391399
Cundinamarca,22633,3445327,152.22582070428135
Valle del Cauca,22140,4638029,209.4864046973803
Norte de Santander,21658,1696740,78.34241388863238
La Guajira,20848,1038397,49.807991174213356
Huila,19890,1178453,59.24851684263449
Sucre,10917,994060,91.05615095722268
Caldas,7888,1040284,131.88184584178498
Risaralda,4140,972304,234.85603864734298
Atlántico,3388,2803565,827.4985242030697
San Andrés y Providencia,52,62269,1197.4807692307693
Bogotá,1587,7968792,5021.2930056710775
